Time,Type,Interest_ID,Consumer_ID,Route_ID,Content_name,Interest_hop,Path,Result,Hit,Miss
55,interest,I60000,C6,R10,r2/8,1,p6/10,interest miss in ps,0,1
59,interest,I20000,C2,R5,r6/91,1,p2/5,interest miss in ps,0,1
57,interest,I50000,C5,R7,r1/33,1,p5/7,interest miss in ps,0,1
62,interest,I10003,C1,R1,r11/32,0,p1,interest miss in ps,0,1
48,interest,I110001,C11,R10,r9/1,1,p11/10,interest miss in ps,0,1
57,interest,I60000,C6,R7,r2/8,1,p6/7,interest miss in ps,0,1
63,interest,I10001,C1,R1,r8/5,0,p1,interest miss in ps,0,1
50,interest,I110004,C11,R11,r1/47,0,p11,interest miss in ps,0,1
69,interest,I10000,C1,R3,r10/96,1,p1/3,interest miss in ps,0,1
66,interest,I50000,C5,R2,r1/33,1,p5/2,interest hits in ps,1,0
53,interest,I110002,C11,R11,r1/75,0,p11,interest miss in ps,0,1
55,interest,I100003,C10,R10,r7/24,0,p10,interest miss in ps,0,1
72,interest,I00001,C0,R1,r7/56,1,p0/1,interest miss in ps,0,1
62,interest,I80001,C8,R8,r3/44,0,p8,interest miss in ps,0,1
